ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2018/3/5,MTX,201803W1,10717,10759,10619,10651,-43,-0.40%,435,10651,504,10652,10656,10803,10597,,,
2018/3/5,MTX,201803W1,10700,10744,10620,10744,50,0.47%,756,-,-,10737,10745,10803,10597,,絃,
2018/3/5,MTX,201803,10700,10741,10598,10634,-44,-0.41%,124061,10632,28014,10634,10635,11255,9137,,,
2018/3/5,MTX,201803,10680,10726,10593,10724,46,0.43%,61567,-,-,10720,10724,11255,9137,,絃,
2018/3/5,MTX,201804,10682,10722,10581,10614,-46,-0.43%,4808,10612,2931,10613,10615,10899,10557,,,
2018/3/5,MTX,201804,10665,10706,10575,10703,43,0.40%,2135,-,-,10700,10705,10899,10557,,絃,
2018/3/5,MTX,201806,10640,10675,10537,10574,-45,-0.42%,830,10569,4806,10570,10574,11200,9262,,,
2018/3/5,MTX,201806,10619,10663,10535,10662,43,0.40%,417,-,-,10654,10663,11200,9262,,絃,
2018/3/5,MTX,201809,10233,10281,10150,10166,-53,-0.52%,312,10168,3883,10174,10176,10803,9662,,,
2018/3/5,MTX,201809,10212,10258,10140,10258,39,0.38%,66,-,-,10256,10264,10803,9662,,絃,
2018/3/5,MTX,201812,10195,10236,10100,10130,-49,-0.48%,376,10131,2647,10131,10134,10768,9633,,,
2018/3/5,MTX,201812,10180,10220,10100,10220,41,0.40%,149,-,-,10214,10220,10768,9633,,絃,
2018/3/6,MTX,201803W1,10743,10803,10729,10800,149,1.40%,490,10801,404,10800,10803,10803,10597,,,
2018/3/6,MTX,201803W1,10640,10740,10640,10737,86,0.81%,384,-,-,10732,10737,10803,10597,,絃,
2018/3/6,MTX,201803,10729,10788,10711,10787,155,1.46%,103373,10786,29271,10785,10787,11255,9137,,,
2018/3/6,MTX,201803,10624,10720,10604,10714,82,0.77%,45268,-,-,10713,10714,11255,9137,,絃,
