ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2018/3/5,TX,201803,10695,10741,10598,10635,-43,-0.40%,172804,10632,90715,10634,10635,11255,9146,,,
2018/3/5,TX,201803,10680,10726,10593,10722,44,0.41%,62593,-,-,10721,10722,11255,9146,,絃,
2018/3/5,TX,201804,10680,10720,10580,10616,-44,-0.41%,2622,10612,3436,10614,10616,10899,10560,,,
2018/3/5,TX,201804,10665,10706,10575,10706,46,0.43%,955,-,-,10700,10704,10899,10560,,絃,
2018/3/5,TX,201806,10630,10677,10540,10570,-49,-0.46%,337,10569,4410,10570,10574,11199,9456,,,
2018/3/5,TX,201806,10620,10659,10533,10658,39,0.37%,223,-,-,10655,10659,11199,9456,,絃,
2018/3/5,TX,201809,10243,10281,10148,10168,-51,-0.50%,152,10168,2730,10175,10178,10807,9660,,,
2018/3/5,TX,201809,10222,10244,10150,10244,25,0.24%,29,-,-,10257,10263,10807,9660,,絃,
2018/3/5,TX,201812,10200,10238,10099,10132,-47,-0.46%,109,10131,1932,10131,10135,10763,9622,,,
2018/3/5,TX,201812,10154,10217,10110,10217,38,0.37%,15,-,-,10215,10220,10763,9622,,絃,
2018/3/6,TX,201803,10730,10789,10712,10787,155,1.46%,142401,10786,92042,10786,10787,11255,9146,,,
2018/3/6,TX,201803,10625,10720,10604,10715,83,0.78%,43923,-,-,10715,10716,11255,9146,,絃,
2018/3/6,TX,201804,10707,10768,10694,10766,154,1.45%,2988,10767,4111,10766,10768,10899,10560,,,
2018/3/6,TX,201804,10599,10700,10586,10694,82,0.77%,737,-,-,10694,10698,10899,10560,,絃,
2018/3/6,TX,201806,10663,10722,10650,10722,153,1.45%,232,10722,4478,10720,10722,11199,9456,,,
2018/3/6,TX,201806,10559,10656,10550,10656,87,0.82%,116,-,-,10651,10654,11199,9456,,絃,
2018/3/6,TX,201809,10278,10327,10258,10323,155,1.52%,185,10323,2763,10324,10327,10807,9660,,,
2018/3/6,TX,201809,10168,10250,10168,10250,82,0.81%,14,-,-,10253,10257,10807,9660,,絃,
2018/3/6,TX,201812,10220,10281,10217,10281,150,1.48%,146,10281,1952,10280,10283,10763,9622,,,
2018/3/6,TX,201812,10109,10209,10109,10209,78,0.77%,15,-,-,10210,10214,10763,9622,,絃,
2018/3/7,TX,201803,10712,10817,10700,10712,-74,-0.69%,158990,10708,91197,10710,10712,11255,9146,,,
2018/3/7,TX,201803,10793,10837,10766,10796,10,0.09%,40030,-,-,10793,10796,11255,9146,,絃,
