ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2018/6/4,MTX,201806W1,10990,11114,10990,11109,168,1.54%,268,11109,301,11106,11110,11114,10784,,,
2018/6/4,MTX,201806W1,10954,10994,10949,10994,53,0.48%,66,-,-,10987,10994,10994,10784,,絃,
2018/6/4,MTX,201806,10974,11095,10972,11085,171,1.57%,72884,11084,41358,11084,11085,11200,9262,,,
2018/6/4,MTX,201806,10924,10969,10920,10965,51,0.47%,18647,-,-,10964,10967,11200,9262,,絃,
2018/6/4,MTX,201807,10712,10829,10712,10820,163,1.53%,3176,10820,2974,10820,10822,10829,10510,,,
2018/6/4,MTX,201807,10664,10710,10664,10707,50,0.47%,891,-,-,10706,10708,10753,10510,,絃,
2018/6/4,MTX,201809,10529,10646,10529,10638,160,1.53%,1215,10637,5214,10637,10639,10803,9662,,,
2018/6/4,MTX,201809,10489,10529,10485,10528,50,0.48%,224,-,-,10522,10528,10803,9662,,絃,
2018/6/4,MTX,201812,10487,10595,10487,10587,152,1.46%,510,10587,4219,10586,10588,10768,9633,,,
2018/6/4,MTX,201812,10446,10483,10440,10479,44,0.42%,134,-,-,10478,10483,10768,9633,,絃,
2018/6/4,MTX,201903,10449,10547,10449,10540,150,1.44%,422,10538,1171,10540,10541,10547,9869,,,
2018/6/4,MTX,201903,10402,10440,10398,10440,50,0.48%,56,-,-,10435,10440,10486,9869,,絃,
2018/6/5,MTX,201806W1,11131,11139,11066,11096,-13,-0.12%,212,11096,333,11091,11097,11157,10784,,,
2018/6/5,MTX,201806W1,11112,11157,11112,11150,41,0.37%,94,-,-,11146,11150,11157,10784,,絃,
2018/6/5,MTX,201806,11101,11118,11035,11069,-15,-0.14%,87591,11069,38916,11069,11070,11200,9262,,,
2018/6/5,MTX,201806,11089,11136,11087,11124,40,0.36%,20547,-,-,11125,11126,11200,9262,,絃,
2018/6/5,MTX,201807,10844,10853,10774,10809,-11,-0.10%,3093,10808,3366,10807,10809,10870,10510,,,
2018/6/5,MTX,201807,10823,10870,10823,10863,43,0.40%,1068,-,-,10862,10863,10870,10510,,絃,
2018/6/5,MTX,201809,10658,10670,10592,10622,-15,-0.14%,583,10625,5146,10622,10625,10803,9662,,,
2018/6/5,MTX,201809,10640,10685,10640,10678,41,0.39%,320,-,-,10676,10680,10803,9662,,絃,
2018/6/5,MTX,201812,10612,10621,10545,10577,-10,-0.09%,247,10580,4198,10574,10577,10768,9633,,,
2018/6/5,MTX,201812,10595,10636,10592,10628,41,0.39%,158,-,-,10628,10633,10768,9633,,絃,
2018/6/5,MTX,201903,10561,10570,10499,10529,-9,-0.09%,224,10529,1207,10527,10528,10587,9869,,,
2018/6/5,MTX,201903,10546,10587,10545,10578,40,0.38%,75,-,-,10578,10582,10587,9869,,絃,
2018/6/6,MTX,201806W1,11112,11204,11112,11199,103,0.93%,402,0,373,11199,11200,11204,10784,,,
